"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
2;"R4,R3";"R_0805_2012Metric";2;"4.7K";;;
3;"J1,J2";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
4;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
5;"D2,D1";"LED_0805_2012Metric";2;"LED";;;
6;"C1,C4";"C_0805_2012Metric";2;"0.1uF";;;
7;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"16 MHz";;;
8;"R5,R7";"R_0805_2012Metric";2;"330";;;
9;"C3,C2";"C_0805_2012Metric";2;"22pF";;;
10;"C5";"C_0805_2012Metric";1;"100nF";;;
11;"U1,U2";"SOIC-8_5.3x5.3mm_P1.27mm";2;"24LC1025";;;
12;"Y2";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"32.768 KHz";;;
13;"R2,R1,R6";"R_0805_2012Metric";3;"10K";;;
14;"J3";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Pin";;;
15;"U4";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
16;"U3";"SOIC127P600X175-8N";1;"DS1337S_";;;
